formula,O-2p
RbBa4Sb3O,0.0
Ba3BAsO3,0.0
Cs12Sn2As6O,0.0
KBa4Bi3O,0.0
Sr4Bi2O,0.023
Sr4As2O,0.035
Ca4Bi2O,0.0409999999999999
Ca4Sb2O,0.0419999999999999
YZnAsO,0.044
La3SbO3,0.044
Ca4As2O,0.046
LaZnAsO,0.0499999999999999
TlPt3O4,0.056
LaCuO2,0.096
Zn(PtO2)3,0.098
TiNb3O6,0.108
TlPd3O4,0.1119999999999999
B6O,0.118
KCuO,0.12
Ba(CuO)2,0.124
GaCuO2,0.124
AlCuO2,0.128
NaCuO,0.132
CuAsPbO4,0.156
CsCuO,0.16
Sr(CuO)2,0.16
Ba2Ca(PdO2)3,0.172
Cu2PbO2,0.178
CsCu3O2,0.18
LiCuO,0.184
LaAgO2,0.188
La2Pd2O5,0.196
YAgO2,0.206
VAg3HgO4,0.217
Tl4V2O7,0.225
ScAgO2,0.228
In6Ge2PtO9,0.24
Tl2SnO3,0.242
In6Ga2PtO8,0.244
KAgO,0.244
NaNbO2,0.256
CaNb2O4,0.256
VAgO3,0.26
K2Sn2O3,0.2639999999999999
TlSbO3,0.2639999999999999
NaTlO,0.266
GaAgO2,0.272
HgAsO3,0.2739999999999999
Ta2SnO6,0.276
Hg2WO4,0.276
LaAg(MoO4)2,0.282
LiNbO2,0.284
TlV2AgO6,0.284
Rb2Sn2O3,0.285
AlAgO2,0.288
BeTlAsO4,0.288
Ba(AgO)2,0.296
NaAgO,0.296
Sn5O6,0.296
Na3AgO2,0.3
AgAuO2,0.3
Nb2SnO6,0.3
Li2PdO2,0.302
Ag2HgO2,0.304
BaLa2PtO5,0.304
NaAg3O2,0.312
Tl3AsO4,0.316
LiAg3O2,0.316
TiSnO3,0.32
BaLa2PdO5,0.332
Na2ReO3,0.3399999999999999
Ca2Pt3O8,0.344
Rb2SnO2,0.348
CaAgAsO4,0.35
KTlO,0.356
LiAgO,0.356
Na4SnO3,0.358
Rb4SnO3,0.362
Ba4AgAuO6,0.3639999999999999
Tl3BO3,0.366
Rb2Al2Sb2O7,0.366
RbTlO,0.368
Cs2Al2Sb2O7,0.369
K2Al2Sb2O7,0.37
TiTl2O3,0.3719999999999999
VAg3O4,0.3719999999999999
Sc2Pt2O7,0.372
Y2Pt2O7,0.376
K2Pb2O3,0.378
Na2PtO2,0.38
SbAsO3,0.38
BaAl2Sb2O7,0.384
La2ReO5,0.384
YTl(WO4)2,0.3840000000000001
La2Pt2O7,0.388
Rb2Pb2O3,0.39
Ba2CePtO6,0.396
K2PdO2,0.398
Cs2Pb2O3,0.402
SbO2,0.408
SrTlVO4,0.408
Bi2Pt2O7,0.408
In2Pt2O7,0.408
Ca(AuO2)2,0.41
CsTlO,0.412
CsSbO2,0.416
TaTl(GeO3)3,0.4180000000000001
RbCuO,0.42
Sr3MgPtO6,0.4200000000000001
Na3SbO3,0.423
RbSbO2,0.424
Sb2O3,0.4240000000000001
Cs2Al2As2O7,0.43
As2O3,0.4319999999999999
