Formula,O-2p
KBa4Bi3O,0.0
RbBa4Sb3O,0.0
KCuO,0.12
NaCuO,0.132
CsCuO,0.16
CsCu3O2,0.18
LiCuO,0.184
KAgO,0.244
NaNbO2,0.256
K2Sn2O3,0.2639999999999999
LiNbO2,0.284
Rb2Sn2O3,0.285
NaAgO,0.296
Na3AgO2,0.3
Li2PdO2,0.302
NaAg3O2,0.312
LiAg3O2,0.316
Na2ReO3,0.3399999999999999
LiAgO,0.356
K2Pb2O3,0.378
Na2PtO2,0.38
Rb2Pb2O3,0.39
K2PdO2,0.398
Cs2Pb2O3,0.402
RbCuO,0.42
Rb3SbO3,0.433
Rb3CuO2,0.44
Li8PtO6,0.446
Na2PtO3,0.464
KNa2CuO2,0.48
LiAuO2,0.482
Na3CuO2,0.488
RbAuO,0.488
CsAuO,0.496
RbNa2AuO2,0.498
CsK2AuO2,0.502
KNa2AuO2,0.512
Li2PdO3,0.514
Li5AuO4,0.516
CsAuO2,0.52
RbAuO2,0.52
Rb5Au3O2,0.52
NaAuO2,0.526
Na3AuO2,0.528
KAuO2,0.532
RbAgO,0.54
KCuO2,0.54
CsCuO2,0.548
NaBiO2,0.5519999999999999
CsAgO,0.552
RbAgO2,0.556
Na3AuO3,0.5640000000000001
Li3AuO3,0.5759999999999998
KAgO2,0.58
CsAgO2,0.58
NaCuO2,0.584
LiCuO2,0.604
Cs2HgO2,0.616
NaAgO2,0.622
Rb2HgO2,0.634
K2HgO2,0.64
Na2HgO2,0.676
LiAgO2,0.696
Cs2CrO4,0.7000000000000001
Li3CuO3,0.7279999999999999
Rb2CrO4,0.7280000000000002
RbLiCrO4,0.738
