No	Formula	O1-potential	O2-potential	O-average	VBM	CBM	VBM-O	CBM-O
20	CaO	-63.5685	-63.5685	-63.5685	1.6505	6.9604	65.219	70.5289
24	MgO	-63.4338	-63.4338	-63.4338	1.9935	8.541	65.4273	71.9748
26  In2O3 -63.9813	-63.9813	-63.9813	2.164	4.6954	66.1453	68.6767
28  Ga2O3	-63.8980	-63.8980	-63.8980	2.4803	6.6234	66.3783	70.5214
23	SnO2	-63.736	-63.736	-63.736	2.7752	5.6279	66.5112	69.3639
21	CdO	-65.8782	-65.8782	-65.8782	0.8586	1.7018	66.7368	67.58
7	BaHgO2	-67.2257	-67.2257	-67.2257	-1.0813	2.7803	66.1444	70.006
8	CaCdO2	-64.8653	-64.5191	-64.6922	1.7381	3.4706	66.4303	68.1628
1 CaCu2O4 -64.6287 -64.6287 -64.6287 2.0861 4.2829 66.7148 68.9116
2	ZnO	-67.018	-67.018	-67.018	-0.1575	2.2871	66.8605	69.3051
12	CrCdO4	-68.8711	-68.8711	-68.8711	-1.7138	1.7507	67.1573	70.6218
3	Zn2PtO4	-65.4472	-65.4472	-65.4472	2.7775	5.0785	68.2247	70.5257
22	CuAlO2	-62.8538	-62.8538	-62.8538	5.5451	8.9921	68.3989	71.8459
25  SnO	-65.0105	-65.0105	-65.0105	4.6576	5.349	69.6681	70.3595
