formula,O-2p,hole_mass_11,hole_mass_22,hole_mass_33,bandgap
RbBa4Sb3O,0.0,0.684366842665726,0.684366842665726,2.4147801578050174,1.5108000000000001
Ba3BAsO3,0.0,4.170739175805112,4.170739167432575,0.2790456819996427,2.5067999999999997
Cs12Sn2As6O,0.0,0.8348849114900246,0.8348849106576595,1.1597205101022676,1.6458
KBa4Bi3O,0.0,1.809201612358526,1.8092016123585264,7.956188396356517,1.2735000000000003
Sr4Bi2O,0.023,0.4467760978153877,0.4467760978153876,1.6096892253410258,1.2590000000000003
Sr4As2O,0.035,1.080442743091294,1.080442743091294,1.1886461903829018,1.7496000000000005
Ca4Bi2O,0.0409999999999999,0.4540237464682363,0.45402374646823634,0.6120171096574138,1.1629000000000005
Ca4Sb2O,0.0419999999999999,0.5002631858228852,0.5002631858228851,0.6789361758797258,1.383
YZnAsO,0.044,0.4722832890211898,0.47228328902119,1.5665544260158137,1.6943000000000001
La3SbO3,0.044,6.27195252236485,0.17039408563861178,5.751525516928054,1.2150999999999996
Ca4As2O,0.046,0.8370165710537496,0.8370165710537494,0.6513047292961336,1.8175000000000003
LaZnAsO,0.0499999999999999,0.6825341061018235,0.6825341061018239,1.7599653810088136,1.0343999999999998
TlPt3O4,0.056,1.417176378655092,1.4171763786550922,1.417176378655092,1.9668
LaCuO2,0.096,2.2786708881689814,2.2786708723914275,30.70681386578593,4.3431
Zn(PtO2)3,0.098,23.03767805160098,29.80636739449393,0.17510707800595668,0.6974
TiNb3O6,0.108,1.7580376450982917,1.7580376520779935,32.48138817157381,0.9491999999999998
TlPd3O4,0.1119999999999999,1.3137907107411937,1.3137907107411937,1.3137907107411937,1.8578999999999999
B6O,0.118,0.6841539409828622,0.6841539381897794,0.3864667436325513,3.0224
KCuO,0.12,6.724067166190753,6.724067166190753,2.8625674577454063,3.9267000000000003
Ba(CuO)2,0.124,4.6743075212960905,4.674307521296089,0.6215001511548416,2.7734
GaCuO2,0.124,2.1867604455076126,2.1867604550856687,5.426681100177119,2.6372
AlCuO2,0.128,1.7954538000882483,1.7954538003206835,5.590479796947369,3.913500000000001
NaCuO,0.132,42.196151824046574,42.196151824046574,3.207410045355744,3.4092000000000002
CuAsPbO4,0.156,5.666758874875995,4.165459823054534,14.959045545781999,3.6326
CsCuO,0.16,5.831235140289908,3.564965918920093,0.3606262624128425,3.1835999999999998
Sr(CuO)2,0.16,1.2274664811562797,1.2274664811562794,5.040737054544204,3.2567999999999997
Ba2Ca(PdO2)3,0.172,2.3756713266364407,7.419141284235589,3.38856102532444,3.0387999999999997
Cu2PbO2,0.178,3.0055560094116918,2.433288265196191,1.0254980699734637,1.3041999999999998
CsCu3O2,0.18,0.7443375979935968,0.7443375974319454,7.230781117907903,3.3697999999999997
LiCuO,0.184,2.363514624887074,2.363514624887074,2.848620079990059,2.6910000000000003
LaAgO2,0.188,2.4547064883435947,2.454706493977577,8.080509416122439,4.564
