formula,O-2p,hole_mass_11,hole_mass_22,hole_mass_33,bandgap,hole_mass_avg
K2Sn2O3,0.2639999999999999,0.2601829058920033,0.2601829058920033,0.2601829058920033,1.9424,0.2601829058920033
Rb2Sn2O3,0.285,0.2329545239348634,0.2329545229579233,0.3202193983131303,2.0496,0.26204281506863897
K2Pb2O3,0.378,0.3296925897557252,0.3296925897557252,0.3296925897557251,2.4279,0.3296925897557252
Rb2Pb2O3,0.39,0.3592657968653804,0.3592657968653804,0.3592657968653804,2.8664,0.35926579686538035
Cs2Pb2O3,0.402,0.4094453126313256,0.4094453126313256,0.4094453126313256,2.831799999999999,0.4094453126313256
Ba2TaBiO6,0.624,0.4164133152097667,0.468514543182568,0.4081108426318562,3.637900000000001,0.431012900341397
TiSnO3,0.32,0.370114770681479,0.3701147699798744,0.6564265879994775,1.7794999999999996,0.4655520428869437
Ca4Bi2O,0.0409999999999999,0.4540237464682363,0.4540237464682363,0.6120171096574138,1.1629000000000005,0.5066882008646288
Ca4Sb2O,0.0419999999999999,0.5002631858228852,0.5002631858228851,0.6789361758797258,1.383,0.5598208491751654
TiPbO3,0.5640000000000001,0.3965040961453345,0.3965040961453345,0.9230203031919796,2.3742000000000005,0.5720094984942162
B6O,0.118,0.6841539409828622,0.6841539381897794,0.3864667436325513,3.0224,0.5849248742683976
Ba2ZnMoO6,0.674,0.663375739386017,0.663375739386017,0.663375739386017,3.3137999999999996,0.663375739386017
Ba2ZnWO6,0.6719999999999999,0.6800740069108463,0.6800740069108463,0.680074006910846,4.5197,0.6800740069108461
CaNb2O4,0.256,0.5741925355862143,0.8699262039628952,0.6055775241188812,2.0084,0.6832320878893302
Tl4V2O7,0.225,0.4893147493011237,0.4893147494721357,1.149473465204143,3.1568000000000005,0.709367654659134
Sb2PbO6,0.578,0.8491260817469081,0.8491260823828535,0.4572641453104789,3.5384,0.71850543648008
As2PbO6,0.59,0.9103956015312406,0.9103956007547838,0.3703891192519131,3.924900000000001,0.7303934405126458
Ca4As2O,0.046,0.8370165710537496,0.8370165710537494,0.6513047292961336,1.8175000000000003,0.7751126238012108
NaNbO2,0.256,0.5669693760973882,0.5669693761317284,1.238144566130687,2.209199999999999,0.7906944394532678
Hg2WO4,0.276,0.4843710784985385,1.1386720624031457,0.8394620224031766,2.7385,0.8208350544349535
TlSbO3,0.2639999999999999,0.9782787013065188,0.9782787030383772,0.5083813429421666,3.7209,0.8216462490956875
Sr4Bi2O,0.023,0.4467760978153877,0.4467760978153876,1.6096892253410258,1.2590000000000003,0.8344138069906003
YZnAsO,0.044,0.4722832890211898,0.47228328902119,1.5665544260158135,1.6943,0.8370403346860643
VAg3HgO4,0.217,0.5083153023241587,1.1262358810785076,1.0099625826904934,1.9730000000000003,0.8815045886977199
LiNbO2,0.284,0.5402850217593212,0.5402850227120265,1.5913540161354724,2.2685000000000004,0.8906413535356067
Ba3Nb2CdO9,0.699,0.920384927361616,0.920384928484912,0.8797221369873418,4.5139000000000005,0.9068306642779568
Cs12Sn2As6O,0.0,0.8348849114900246,0.8348849106576595,1.1597205101022676,1.6458,0.9431634440833173
Tl3BO3,0.366,0.8919426352689122,0.8919426344476906,1.1117086327085086,2.0903000000000005,0.9651979674750372
Ba4AgAuO6,0.3639999999999999,1.664460846237397,0.5533326265694195,0.7835194618171871,3.152,1.000437644874668
NaBiO2,0.5519999999999999,0.6549290172360298,0.5817326587625979,1.798453758280485,1.8904999999999992,1.011705144759704
CaCdO2,0.64,1.334438018625707,1.3344380186257072,0.3677662033829031,1.9478,1.0122140802114392
LaZnAsO,0.0499999999999999,0.6825341061018235,0.6825341061018239,1.7599653810088136,1.0343999999999998,1.0416778644041538
PbWO4,0.5760000000000002,0.6784140411147285,1.7117315709404597,0.7568990662407065,3.6692,1.0490148927652982
