Formula,O-2p
Ba3BAsO3,0.0
KBa4Bi3O,0.0
RbBa4Sb3O,0.0
Sr4Bi2O,0.023
Sr4As2O,0.035
Ca4Bi2O,0.040999999999999995
Ca4Sb2O,0.041999999999999996
La3SbO3,0.044
YZnAsO,0.044
Ca4As2O,0.046
LaZnAsO,0.049999999999999996
TlPt3O4,0.056
LaCuO2,0.096
Zn(PtO2)3,0.09800000000000002
TiNb3O6,0.108
TlPd3O4,0.11199999999999999
B6O,0.118
KCuO,0.12
GaCuO2,0.124
Ba(CuO)2,0.124
AlCuO2,0.128
NaCuO,0.132
CuAsPbO4,0.156
Sr(CuO)2,0.16
CsCuO,0.16
Ba2Ca(PdO2)3,0.17200000000000004
Cu2PbO2,0.178
CsCu3O2,0.18
LiCuO,0.184
La2Pd2O5,0.19600000000000004
YAgO2,0.20600000000000002
VAg3HgO4,0.21700000000000003
Tl4V2O7,0.22500000000000003
ScAgO2,0.228
Tl2SnO3,0.242
KAgO,0.244
NaNbO2,0.256
CaNb2O4,0.25600000000000006
TlSbO3,0.26399999999999996
K2Sn2O3,0.26399999999999996
GaAgO2,0.272
Hg2WO4,0.276
LiNbO2,0.284
Rb2Sn2O3,0.28500000000000003
BeTlAsO4,0.28800000000000003
AlAgO2,0.28800000000000003
NaAgO,0.296
AgAuO2,0.3
Na3AgO2,0.3
Li2PdO2,0.302
Ag2HgO2,0.304
NaAg3O2,0.312
LiAg3O2,0.316
Tl3AsO4,0.316
TiSnO3,0.32
Na2ReO3,0.33999999999999997
Ca2Pt3O8,0.344
CaAgAsO4,0.35
LiAgO,0.356
Ba4AgAuO6,0.36399999999999993
Tl3BO3,0.366
VAg3O4,0.37199999999999994
Sc2Pt2O7,0.37200000000000005
Y2Pt2O7,0.376
K2Pb2O3,0.378
Na2PtO2,0.38
La2Pt2O7,0.38800000000000007
Rb2Pb2O3,0.39
Ba2CePtO6,0.396
K2PdO2,0.398
Cs2Pb2O3,0.402
In2Pt2O7,0.40800000000000003
Ca(AuO2)2,0.41000000000000003
RbCuO,0.42
Sr3MgPtO6,0.42000000000000015
Rb3SbO3,0.433
Rb3CuO2,0.44
Li8PtO6,0.446
Tl2Pt2O7,0.452
Sr3ZnPtO6,0.45200000000000007
Sr3CdPtO6,0.4600000000000001
Na2PtO3,0.464
Mg2PtO4,0.472
KNa2CuO2,0.48
LiAuO2,0.48200000000000004
Na3CuO2,0.488
RbAuO,0.488
Ba(AuO2)2,0.488
Sr(AuO2)2,0.488
Sr4PtO6,0.49599999999999994
CsAuO,0.496
RbNa2AuO2,0.498
CdAuO2,0.5
CsK2AuO2,0.502
KNa2AuO2,0.512
Li2PdO3,0.514
Ba4PtO6,0.5159999999999999
Li5AuO4,0.516
CsAuO2,0.52
RbAuO2,0.52
Rb5Au3O2,0.52
NaAuO2,0.526
Au2O3,0.527
Na3AuO2,0.528
KAuO2,0.532
Ca4PdO6,0.5359999999999999
Sr5(AuO4)2,0.536
Sr4PdO6,0.5399999999999999
RbAgO,0.54
KCuO2,0.54
MoPbO4,0.544
AsAuO4,0.548
CsCuO2,0.548
NaBiO2,0.5519999999999999
CsAgO,0.552
RbAgO2,0.556
Mg(CuO2)2,0.5579999999999999
Ag2BiO3,0.5599999999999999
Ba4PdO6,0.564
Na3AuO3,0.5640000000000001
Li3AuO3,0.5759999999999998
Sb2PbO6,0.578
KAgO2,0.58
CsAgO2,0.58
NaCuO2,0.584
Zn2PtO4,0.588
ZnO,0.588
As2PbO6,0.59
Sr4Cu2O7,0.5940000000000001
HgO,0.602
SrBiO3,0.6020000000000001
Ca(AgO2)2,0.604
LiCuO2,0.604
Ba2BiSbO6,0.6080000000000001
Cs2HgO2,0.616
CdBiO3,0.6160000000000001
BaHgO2,0.618
NaAgO2,0.622
Rb2HgO2,0.634
K2HgO2,0.64
CaCdO2,0.64
Ca(CuO2)2,0.6440000000000001
SrHgO2,0.66
Na2HgO2,0.676
CaHgO2,0.6819999999999999
LiAgO2,0.696
Cs2CrO4,0.7000000000000001
CrCdO4,0.7159999999999999
Li3CuO3,0.7279999999999999
Rb2CrO4,0.7280000000000002
RbLiCrO4,0.738
CaCrO4,0.7519999999999999
