Formula,O-2p
RbNa2AuO2,0.498
CsAuO,0.496
Sr4PtO6,0.49599999999999994
Sr(AuO2)2,0.488
Ba(AuO2)2,0.488
RbAuO,0.488
Na3CuO2,0.488
LiAuO2,0.48200000000000004
KNa2CuO2,0.48
Mg2PtO4,0.472
Na2PtO3,0.464
Sr3CdPtO6,0.4600000000000001
Sr3ZnPtO6,0.45200000000000007
Tl2Pt2O7,0.452
Li8PtO6,0.446
Rb3CuO2,0.44
Rb3SbO3,0.433
Sr3MgPtO6,0.42000000000000015
RbCuO,0.42
Ca(AuO2)2,0.41000000000000003
In2Pt2O7,0.40800000000000003
Cs2Pb2O3,0.402
K2PdO2,0.398
Ba2CePtO6,0.396
Rb2Pb2O3,0.39
La2Pt2O7,0.38800000000000007
Na2PtO2,0.38
K2Pb2O3,0.378
Y2Pt2O7,0.376
Sc2Pt2O7,0.37200000000000005
VAg3O4,0.37199999999999994
Tl3BO3,0.366
Ba4AgAuO6,0.36399999999999993
LiAgO,0.356
CaAgAsO4,0.35
Ca2Pt3O8,0.344
Na2ReO3,0.33999999999999997
TiSnO3,0.32
Tl3AsO4,0.316
LiAg3O2,0.316
NaAg3O2,0.312
Ag2HgO2,0.304
Li2PdO2,0.302
Na3AgO2,0.3
AgAuO2,0.3
NaAgO,0.296
AlAgO2,0.28800000000000003
BeTlAsO4,0.28800000000000003
Rb2Sn2O3,0.28500000000000003
LiNbO2,0.284
Hg2WO4,0.276
GaAgO2,0.272
TlSbO3,0.26399999999999996
K2Sn2O3,0.26399999999999996
CaNb2O4,0.25600000000000006
NaNbO2,0.256
KAgO,0.244
Tl2SnO3,0.242
ScAgO2,0.228
Tl4V2O7,0.22500000000000003
VAg3HgO4,0.21700000000000003
YAgO2,0.20600000000000002
La2Pd2O5,0.19600000000000004
LiCuO,0.184
CsCu3O2,0.18
Cu2PbO2,0.178
Ba2Ca(PdO2)3,0.17200000000000004
Sr(CuO)2,0.16
CsCuO,0.16
CuAsPbO4,0.156
NaCuO,0.132
AlCuO2,0.128
Ba(CuO)2,0.124
GaCuO2,0.124
KCuO,0.12
B6O,0.118
TlPd3O4,0.11199999999999999
TiNb3O6,0.108
Zn(PtO2)3,0.09800000000000002
LaCuO2,0.096
TlPt3O4,0.056
LaZnAsO,0.049999999999999996
Ca4As2O,0.046
La3SbO3,0.044
YZnAsO,0.044
Ca4Sb2O,0.041999999999999996
Ca4Bi2O,0.040999999999999995
Sr4As2O,0.035
Sr4Bi2O,0.023
RbBa4Sb3O,0.0
Ba3BAsO3,0.0
KBa4Bi3O,0.0
